Volume averages, fluxes, etc
it year mo dy hr mn sc msc dt rho mx my mz p bx by bz pmin pmax dst_sm dstflx_R=3.0
      10 2014 04 10 00 02 00 000  0.00000E+000  1.22221E+001 -2.61802E-014 -5.97515E-016  8.74771E-016  5.93029E-001  3.31972E+000 -1.42469E+000 -4.82200E+000  1.23074E-001  1.63991E+001 -2.27777E+000 -1.34294E+001
      25 2014 04 10 00 02 05 109  3.41330E-001  1.22222E+001 -2.61797E-014 -5.97478E-016  8.74693E-016  5.93219E-001  3.31917E+000 -1.42343E+000 -4.82203E+000  1.22755E-001  1.70016E+001  9.14130E-001 -1.04310E+001
      40 2014 04 10 00 02 10 232  3.41717E-001  1.22223E+001 -2.61792E-014 -5.97440E-016  8.74614E-016  5.93409E-001  3.31863E+000 -1.42218E+000 -4.82211E+000  1.22468E-001  1.73004E+001  1.36368E+000 -1.00432E+001
      54 2014 04 10 00 02 15 019  3.42090E-001  1.22224E+001 -2.61787E-014 -5.97401E-016  8.74539E-016  5.93575E-001  3.31813E+000 -1.42101E+000 -4.82219E+000  1.22187E-001  1.74668E+001  1.61174E+000 -9.81436E+000
      69 2014 04 10 00 02 20 152  3.42231E-001  1.22224E+001 -2.61781E-014 -5.97358E-016  8.74458E-016  5.93758E-001  3.31759E+000 -1.41976E+000 -4.82228E+000  1.21917E-001  1.75154E+001  1.76171E+000 -9.65988E+000
      84 2014 04 10 00 02 25 286  3.42312E-001  1.22225E+001 -2.61776E-014 -5.97318E-016  8.74384E-016  5.93940E-001  3.31706E+000 -1.41851E+000 -4.82238E+000  1.21659E-001  1.74950E+001  1.88810E+000 -9.54621E+000
      98 2014 04 10 00 02 30 079  3.42400E-001  1.22226E+001 -2.61771E-014 -5.97280E-016  8.74313E-016  5.94110E-001  3.31655E+000 -1.41734E+000 -4.82249E+000  1.21415E-001  1.74095E+001  2.02494E+000 -9.45351E+000
     113 2014 04 10 00 02 35 216  3.42484E-001  1.22228E+001 -2.61767E-014 -5.97235E-016  8.74249E-016  5.94335E-001  3.31602E+000 -1.41608E+000 -4.82260E+000  1.21188E-001  1.72590E+001  2.21785E+000 -9.35082E+000
     127 2014 04 10 00 02 40 011  3.42570E-001  1.22229E+001 -2.61763E-014 -5.97194E-016  8.74187E-016  5.94538E-001  3.31551E+000 -1.41491E+000 -4.82271E+000  1.20951E-001  1.71120E+001  2.44347E+000 -9.25453E+000
     142 2014 04 10 00 02 45 150  3.42665E-001  1.22231E+001 -2.61759E-014 -5.97165E-016  8.74124E-016  5.94744E-001  3.31498E+000 -1.41366E+000 -4.82284E+000  1.20729E-001  1.69941E+001  2.69423E+000 -9.17591E+000
     157 2014 04 10 00 02 50 291  3.42766E-001  1.22232E+001 -2.61755E-014 -5.97133E-016  8.74059E-016  5.94947E-001  3.31444E+000 -1.41240E+000 -4.82297E+000  1.20499E-001  1.68870E+001  2.92977E+000 -9.13326E+000
     171 2014 04 10 00 02 55 090  3.42844E-001  1.22234E+001 -2.61751E-014 -5.97101E-016  8.74001E-016  5.95135E-001  3.31394E+000 -1.41123E+000 -4.82310E+000  1.20297E-001  1.73639E+001  3.14358E+000 -9.12384E+000
     186 2014 04 10 00 03 00 000  1.08574E-001  1.22235E+001 -2.61747E-014 -5.97067E-016  8.73941E-016  5.95325E-001  3.31344E+000 -1.41003E+000 -4.82324E+000  1.20091E-001  1.83582E+001  3.36483E+000 -9.14449E+000
