Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
       0  0.00000E+00  0.00000E+000  3.12396E-020 -1.83172E-029  1.83172E-029 -1.46537E-028  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  4.20926E-005 -1.90182E-008  3.86816E-006  1.46552E-005  7.13925E-007  9.95208E-003
       1  0.00000E+00  0.00000E+000  3.12376E-020  9.20749E-016 -5.50419E-017 -3.46062E-016 -8.99506E-007  3.87671E-006 -1.75418E-006  1.46192E-006  4.03296E-005 -1.96836E-007  2.97173E-006  1.57318E-005  9.09112E-007  1.07991E-002
       2  0.00000E+00  0.00000E+000  3.12193E-020  1.70901E-015 -9.30149E-017 -6.69487E-016 -2.08703E-006  8.23926E-006 -3.80445E-006  1.50445E-006  3.85153E-005 -3.44667E-007  3.03317E-006  1.68239E-005  1.11631E-006  1.09943E-002
       3  0.00000E+00  0.00000E+000  3.12037E-020  2.44075E-015 -1.28993E-016 -9.49813E-016 -3.29847E-006  1.25570E-005 -5.75262E-006  1.54230E-006  3.68202E-005 -1.52922E-006  3.09009E-006  1.78022E-005  1.28866E-006  1.11239E-002
       4  0.00000E+00  0.00000E+000  3.11891E-020  3.12722E-015 -1.61702E-016 -1.20405E-015 -4.39327E-006  1.66747E-005 -7.57090E-006  1.57368E-006  3.52754E-005 -2.82011E-006  3.13839E-006  1.86482E-005  1.41715E-006  1.11873E-002
       5  0.00000E+00  0.00000E+000  3.11756E-020  3.77613E-015 -1.96264E-016 -1.44259E-015 -5.39522E-006  2.06353E-005 -9.29092E-006  1.59852E-006  3.38866E-005 -3.81440E-006  3.17736E-006  1.93594E-005  1.50749E-006  1.12519E-002
       6  0.00000E+00  0.00000E+000  3.11634E-020  4.39838E-015 -2.33703E-016 -1.66903E-015 -6.31429E-006  2.44645E-005 -1.09117E-005  1.61787E-006  3.26351E-005 -1.04592E-006  3.20804E-006  1.99519E-005  1.57919E-006  1.13001E-002
       7  0.00000E+00  0.00000E+000  3.11520E-020  4.99834E-015 -2.76148E-016 -1.88771E-015 -7.14944E-006  2.81615E-005 -1.24380E-005  1.63263E-006  3.15024E-005 -6.27495E-007  3.23156E-006  2.04420E-005  1.63716E-006  1.13507E-002
       8  0.00000E+00  0.00000E+000  3.11415E-020  5.57896E-015 -3.22960E-016 -2.10056E-015 -7.89800E-006  3.17219E-005 -1.38750E-005  1.64364E-006  3.04703E-005  5.12023E-006  3.24911E-006  2.08456E-005  1.68534E-006  1.13943E-002
       9  0.00000E+00  0.00000E+000  3.11314E-020  6.14140E-015 -3.73081E-016 -2.30863E-015 -8.55895E-006  3.51415E-005 -1.52218E-005  1.65161E-006  2.95218E-005  5.42627E-006  3.26169E-006  2.11763E-005  1.72617E-006  1.14377E-002
